## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.numberofemployees,entity.companyheadquarters,entity.product,entity.marketsite,entity.industry,entity.product_type,entity.employee_range,entity.custom10
casestudy_lindt-sprungli,lindt-sprungli,casestudy, ,https://www.concur.com/sites/default/files/lindt_concur_case_study.png, ,https://www.concur.com/en-us/casestudy/lindt-sprungli, , , , ,14621,Not Found,Concur Expense,US,Food Beverage,Expense,"10,000 - 49,999", 
casestudy_asics-europe,asics-europe,casestudy, ,https://www.concur.com/sites/default/files/asics_logo_0.png, ,https://www.concur.com/en-us/casestudy/asics-europe, , , , ,7263,"Amsterdam, Netherlands","Concur Expense, Central Reconciliation, Intelligence, ExpenseIt, SAP Integration",US,Retail,"Data Insights,Expense","6,000 - 9,999", 
casestudy_trialcard,trialcard,casestudy, ,https://www.concur.com/sites/default/files/trialcard.png, ,https://www.concur.com/en-us/casestudy/trialcard, , , , ,900,"Morrisville, NC","Concur Expense, Concur Invoice, Concur Travel, Premium Assistant",US,Pharmaceutical,"Invoice,Travel,Expense",750 - 999, 
casestudy_ntt-data-philippines,ntt-data-philippines,casestudy, ,https://www.concur.com/sites/default/files/ntt_data_jpeg_logo.jpg, ,https://www.concur.com/en-us/casestudy/ntt-data-philippines, , , , ,5001,"Manila, Philippines",Concur Expense,US,Professional Services,Expense,"3,000 - 5,999", 
casestudy_infineon,infineon,casestudy, ,https://www.concur.com/sites/default/files/infineon-logo.jpg, ,https://www.concur.com/en-us/casestudy/infineon, , , , ,45000,"Neubiberg, Germany","Concur Expense, Concur Travel, Concur Request, Policy Audit, Service Administration – Elite",US,Technology,"Travel,Expense","10,000 - 49,999", 
casestudy_kelly,kelly,casestudy, ,https://www.concur.com/sites/default/files/kelly_354.jpg, ,https://www.concur.com/en-us/casestudy/kelly, , , , ,7100,"Troy, Michigan",Concur Travel,US,Professional Services,Travel,"6,000 - 9,999", 
casestudy_ocean-network-express,ocean-network-express,casestudy, ,https://www.concur.com/sites/default/files/512px-ocean_network_express_logo.png, ,https://www.concur.com/en-us/casestudy/ocean-network-express, , , , ,14000,Singapore,"Concur Expense, Concur Travel, Budget, Concur Request",US,Logistics,"Data Insights,Travel,Expense","10,000 - 49,999", 
casestudy_idp-education,idp-education,casestudy, ,https://www.concur.com/sites/default/files/idp.jpg, ,https://www.concur.com/en-us/casestudy/idp-education, , , , ,500,Not Found,"Concur Expense, Concur Invoice, Concur Travel",US,Education,"Invoice,Travel,Expense",500 - 749, 
casestudy_promesa-keeping-workforce-safe-and-connected-sap-concur-sap-success-factors,promesa-keeping-workforce-safe-and-connected-sap-concur-sap-success-factors,casestudy, ,https://www.concur.com/sites/default/files/promesa_logo.png, ,https://www.concur.com/en-us/casestudy/promesa-keeping-workforce-safe-and-connected-sap-concur-sap-success-factors, , , , ,367,"Guayaquil, Ecuador",Concur Expense,US,Manufacturing,Expense,100 - 499, 
casestudy_bic,bic,casestudy, ,https://www.concur.com/sites/default/files/bic_logo.png, ,https://www.concur.com/en-us/casestudy/bic, , , , ,11001,France,"Concur Expense, ExpenseIt",US,Manufacturing,Expense,"10,000 - 49,999", 
casestudy_allbirds,allbirds,casestudy, ,https://www.concur.com/sites/default/files/allbirds_logo.png, ,https://www.concur.com/en-us/casestudy/allbirds, , , , ,501,"San Fransisco, CA",Concur Expense,US,Retail,Expense,500 - 749, 
casestudy_wb-manufacturing,wb-manufacturing,casestudy, ,https://www.concur.com/sites/default/files/wb_official_logo.jpg, ,https://www.concur.com/en-us/casestudy/wb-manufacturing, , , , ,50,"Thorp, Wisconsin","Concur Expense, Concur Travel, Budget, Concur TripLink, User Support Desk, ExpenseIt, Concur Expense Pay",US,Manufacturing,"Data Insights,Travel,Expense,Support Offerings",50 - 99, 
casestudy_tech-interactive,tech-interactive,casestudy, ,https://www.concur.com/sites/default/files/thetech_thetechinteractive_logos_rgb_highres_fullcolor_utility.jpg, ,https://www.concur.com/en-us/casestudy/tech-interactive, , , , ,80,"San Jose, CA","Concur Expense, Concur Invoice, Concur TripLink, Concur Expense Pay",US,Non-Profit,"Invoice,Expense",50 - 99, 
casestudy_penn-state,penn-state,casestudy, ,https://www.concur.com/sites/default/files/psu_hor_rgb_2c_0.png, ,https://www.concur.com/en-us/casestudy/penn-state, , , , ,35545,"University Park, PA","Concur Travel, Concur Expense, Intelligence, Service Administration, Concur Request, Concur TripLink",US,Education,"Data Insights,Travel,Expense","10,000 - 49,999", 
casestudy_penn-state-huron-consulting,penn-state-huron-consulting,casestudy, ,https://www.concur.com/sites/default/files/psu_hor_rgb_2c.png, ,https://www.concur.com/en-us/casestudy/penn-state-huron-consulting, , , , ,33545,"University Park, PA","Concur Travel, Concur Expense, Intelligence, Service Administration, Concur Request, Concur TripLink",US,Education,"Data Insights,Travel,Expense","10,000 - 49,999", 
casestudy_university-alabama,university-alabama,casestudy, ,https://www.concur.com/sites/default/files/ua-stackednameplate_capa.png, ,https://www.concur.com/en-us/casestudy/university-alabama, , , , ,8500,"Tuscaloosa, Alabama","Concur Travel, Concur Expense, Intelligence, Concur Invoice, Service Administration, Concur Request, ExpenseIt, Concur TripLink",US,Education,"Data Insights,Travel,Expense,Invoice","6,000 - 9,999", 
casestudy_cardtronics,cardtronics,casestudy, ,https://www.concur.com/sites/default/files/cardtronics-sm-logo.png, ,https://www.concur.com/en-us/casestudy/cardtronics, , , , ,2000,"Houston, TX","Concur Travel, Concur Expense, Intelligence, Concur Expense Pay, Company Bill Statements, ExpenseIt, Service Administration – Elite, Concur TripLink",US,Manufacturing,"Data Insights,Travel,Expense","2,000 - 2,999", 
casestudy_avocados-from-mexico,avocados-from-mexico,casestudy, ,https://www.concur.com/sites/default/files/avocados_from_mexico_logo.png, ,https://www.concur.com/en-us/casestudy/avocados-from-mexico, , , , ,34,"Irving, TX",Concur Expense,US,Food Beverage,Expense,< 50, 
casestudy_checkers-and-rallys,checkers-and-rallys,casestudy, ,https://www.concur.com/sites/default/files/checkers_rallys.jpg, ,https://www.concur.com/en-us/casestudy/checkers-and-rallys, , , , ,2700,"Tampa, Florida",Concur Expense,US,Food Beverage,Expense,"2,000 - 2,999", 
casestudy_siemens,siemens,casestudy, ,https://www.concur.com/sites/default/files/siemens_logo.jpg, ,https://www.concur.com/en-us/casestudy/siemens, , , , ,290000,"Berlin, Germany","Concur Expense, Concur Travel, Concur TripLink, Concur Request, Intelligence, ExpenseIt, Service Administration, Concur Risk Messaging, Financial Connector, Service Administration – Elite",US,Manufacturing,"Data Insights,Travel,Expense","> 50,000", 
casestudy_bishop-wisecarver,bishop-wisecarver,casestudy, ,https://www.concur.com/sites/default/files/bishopwisecarver_logo.jpg, ,https://www.concur.com/en-us/casestudy/bishop-wisecarver, , , , ,75,"Pittsburg, CA","Concur Expense, Concur Invoice",US,Manufacturing,"Invoice,Expense",50 - 99, 
casestudy_caf-america,caf-america,casestudy, ,https://www.concur.com/sites/default/files/caf_logo.png, ,https://www.concur.com/en-us/casestudy/caf-america, , , , ,78,"Alexandria, Virginia",Concur Expense,US,Non-Profit,Expense,50 - 99, 
casestudy_serco,serco,casestudy, ,https://www.concur.com/sites/default/files/serco_ltd.png, ,https://www.concur.com/en-us/casestudy/serco, , , , ,50000,"Hook, Hampshire, England","Concur Travel, Concur Expense, Intelligence, Service Administration, Concur Request, ExpenseIt, Policy Audit, Concur TripLink, User Support Desk, Drive",US,Government,"Data Insights,Travel,Expense,Support Offerings","> 50,000", 
casestudy_cwt,cwt,casestudy, ,https://www.concur.com/sites/default/files/cwt-logo-224x120.png, ,https://www.concur.com/en-us/casestudy/cwt, , , , ,15000,"Minnetonka, MN","Concur Expense, Concur Request",US,Travel,Expense,"10,000 - 49,999", 
casestudy_smith-nephew-part-1-3,smith-nephew-part-1-3,casestudy, ,https://www.concur.com/sites/default/files/life-unlimited-logo-for-corp-site-notag.png, ,https://www.concur.com/en-us/casestudy/smith-nephew-part-1-3, , , , ,16000,"London, UK","Concur Travel, Concur Expense, Intelligence, Concur Expense Pay, Company Bill Statements, ExpenseIt, Policy Audit, Service Administration – Elite, Concur TripLink, User Support Desk, Budget",US,Health Care,"Data Insights,Travel,Expense,Support Offerings","10,000 - 49,999", 
casestudy_barclays,barclays,casestudy, ,https://www.concur.com/sites/default/files/barclays_logo.png, ,https://www.concur.com/en-us/casestudy/barclays, , , , ,85000,"London, UK","Concur Travel, Concur Expense, Intelligence, Concur Request, ExpenseIt, Policy Audit, Service Administration – Elite, Concur TripLink",US,Financial,"Data Insights,Travel,Expense","> 50,000", 
casestudy_gonzaga-and-ap-automation,gonzaga-and-ap-automation,casestudy, ,https://www.concur.com/sites/default/files/gonzaga-logo_1506993845207_8817129_ver1-0-1024x576.jpg, ,https://www.concur.com/en-us/casestudy/gonzaga-and-ap-automation, , , , ,1200,"Spokane, WA","Concur Expense, Intelligence, Concur Invoice, Service Administration, Concur Request, ExpenseIt, Concur Locate, Budget",US,Education,"Data Insights,Expense,Invoice","1,000 - 1,999", 
casestudy_plymouth-rock-assurance,plymouth-rock-assurance,casestudy, ,https://www.concur.com/sites/default/files/plymouth-rock-logo-1024x298.png, ,https://www.concur.com/en-us/casestudy/plymouth-rock-assurance, , , , ,2000,"Boston, MA","Concur Expense, Intelligence, Concur Expense Pay, ExpenseIt, User Support Desk",US,Insurance,"Data Insights,Expense,Support Offerings","2,000 - 2,999", 
casestudy_simons-foundation,simons-foundation,casestudy, ,https://www.concur.com/sites/default/files/simons_foundation.png, ,https://www.concur.com/en-us/casestudy/simons-foundation, , , , ,450,"New York, NY","Concur Travel, Concur Expense, Intelligence, Concur Invoice, Service Administration, Concur Expense Pay, ExpenseIt, Concur TripLink",US,Non-Profit,"Data Insights,Travel,Expense,Invoice",100 - 499, 
casestudy_alkermes,alkermes,casestudy, ,https://www.concur.com/sites/default/files/www.biospace.jpg, ,https://www.concur.com/en-us/casestudy/alkermes, , , , ,2000,"Boston, MA","Concur Travel, Concur Expense, Intelligence, Service Administration, Concur Expense Pay, Managed Reporting, Policy Audit, Concur TripLink, User Support Desk, TripIt Pro",US,Pharmaceutical,"Data Insights,Support Offerings,Travel,Expense,Integrations/Connectors","2,000 - 2,999", 
casestudy_servicenow-and-app-center-partner-axosnet,servicenow-and-app-center-partner-axosnet,casestudy, ,https://www.concur.com/sites/default/files/cs-servicenow-logo-tile.png.imgw_.720.720.png, ,https://www.concur.com/en-us/casestudy/servicenow-and-app-center-partner-axosnet, , , , ,8001,"Santa Clara, US","Concur Travel, Concur Expense",US,Technology,"Travel,Expense","6,000 - 9,999", 
casestudy_neosystems,neosystems,casestudy, ,https://www.concur.com/sites/default/files/ns_logo_r_cmyk.png, ,https://www.concur.com/en-us/casestudy/neosystems, , , , ,200,"Tysons Corner, Virginia","Concur Expense, Concur Travel, Budget, Concur TripLink, Concur Request, Consultive Intelligence, User Support Desk, Client Web Services, Drive, ExpenseIt, Service Administration",US,Government,"Data Insights,Support Offerings,Travel,Expense",100 - 499, 
casestudy_southeastern-university,southeastern-university,casestudy, ,https://www.concur.com/sites/default/files/seu_logo.png, ,https://www.concur.com/en-us/casestudy/southeastern-university, , , , ,1394,Not Found,"Concur Expense, ExpenseIt, Financial Connector, User Support Desk",US,Education,"Expense,Support Offerings","1,000 - 1,999", 
casestudy_intelligent-spend-solutions-danfoss,intelligent-spend-solutions-danfoss,casestudy, ,https://www.concur.com/sites/default/files/1280px-danfoss.svg_.png, ,https://www.concur.com/en-us/casestudy/intelligent-spend-solutions-danfoss, , , , ,28000,"Nordborg, Denmark",Concur Expense,US,Manufacturing,Expense,"10,000 - 49,999", 
casestudy_alteryx-and-rocketrip,alteryx-and-rocketrip,casestudy, ,https://www.concur.com/sites/default/files/alteryx-logo-blue.4f4a396c1ea19b53cba46d94a4f042820e59358c.png, ,https://www.concur.com/en-us/casestudy/alteryx-and-rocketrip, , , , ,1001,"Irvine, CA","Concur Travel, Concur Expense, ExpenseIt, TripIt Pro",US,Technology,"Travel,Integrations/Connectors,Expense","1,000 - 1,999", 
casestudy_travel-incorporated,travel-incorporated,casestudy, ,https://www.concur.com/sites/default/files/travel-inc-logo.png, ,https://www.concur.com/en-us/casestudy/travel-incorporated, , , , ,300,"Duluth, Georgia","Concur Travel, Concur Expense, Concur Compleat, Concur TripLink",US,Travel,"Travel,Expense",100 - 499, 
casestudy_feld-entertainment,feld-entertainment,casestudy, ,https://www.concur.com/sites/default/files/feld_entertainment_logo_1.jpg, ,https://www.concur.com/en-us/casestudy/feld-entertainment, , , , ,3000,"Palmetto, Florida","Concur Expense, Concur Travel",US,Entertainment,"Travel,Expense","3,000 - 5,999", 
casestudy_architectural-engineering-firm-csrs-and-app-center-partner-fullsail-partners,architectural-engineering-firm-csrs-and-app-center-partner-fullsail-partners,casestudy, ,https://www.concur.com/sites/default/files/csrs_logo.jpg, ,https://www.concur.com/en-us/casestudy/architectural-engineering-firm-csrs-and-app-center-partner-fullsail-partners, , , , ,129,"Baton Rouge, Louisiana","Concur Expense, Financial Connector",US,Construction,Expense,100 - 499, 
casestudy_rochester-city-school-district-automates-travel-expense-and-invoice-management,rochester-city-school-district-automates-travel-expense-and-invoice-management,casestudy, ,https://www.concur.com/sites/default/files/rcsd3.png, ,https://www.concur.com/en-us/casestudy/rochester-city-school-district-automates-travel-expense-and-invoice-management, , , , ,6000,"Rochester, New York","Concur Expense, Concur Invoice, Concur Travel",US,Education,"Invoice,Travel,Expense","6,000 - 9,999", 
casestudy_red-gains-insights-visibility-travel-and-expense,red-gains-insights-visibility-travel-and-expense,casestudy, ,https://www.concur.com/sites/default/files/red.png, ,https://www.concur.com/en-us/casestudy/red-gains-insights-visibility-travel-and-expense, , , , ,0,Not Found,"Concur Travel, Concur Expense, Intelligence, Concur TripLink",US,Professional Services,"Data Insights,Travel,Expense",< 50, 
casestudy_alteryx-saves-time-simplifies-travel-and-expense-sap-concur,alteryx-saves-time-simplifies-travel-and-expense-sap-concur,casestudy, ,https://www.concur.com/sites/default/files/alteryx.png, ,https://www.concur.com/en-us/casestudy/alteryx-saves-time-simplifies-travel-and-expense-sap-concur, , , , ,0,Not Found,"Concur Travel, Concur Expense, ExpenseIt, TripIt Pro",US,Technology,"Travel,Integrations/Connectors,Expense",< 50, 
casestudy_nec-achieves-cost-savings-and-compliance,nec-achieves-cost-savings-and-compliance,casestudy, ,https://www.concur.com/sites/default/files/nec.png, ,https://www.concur.com/en-us/casestudy/nec-achieves-cost-savings-and-compliance, , , , ,0,Not Found,"Concur Travel, Concur Expense, Intelligence, Concur Risk Messaging",US,Manufacturing,"Data Insights,Travel,Expense",< 50, 
casestudy_barton-malow-empowers-mobile-workforce,barton-malow-empowers-mobile-workforce,casestudy, ,https://www.concur.com/sites/default/files/barton_malow.png, ,https://www.concur.com/en-us/casestudy/barton-malow-empowers-mobile-workforce, , , , ,0,Not Found,"Concur Expense, Concur Travel, ExpenseIt",US,Construction,"Travel,Expense",< 50, 
casestudy_madison-logic-inc,madison-logic-inc,casestudy, ,https://www.concur.com/sites/default/files/madisonlogiclogo.png, ,https://www.concur.com/en-us/casestudy/madison-logic-inc, , , , ,150,"New York, NY","Concur Expense, Concur Expense Pay, ExpenseIt, User Support Desk",US,Technology,"Expense,Support Offerings",100 - 499, 
casestudy_george-washington-university,george-washington-university,casestudy, ,https://www.concur.com/sites/default/files/gw_logo_0.jpg, ,https://www.concur.com/en-us/casestudy/george-washington-university, , , , ,10001,"Washington DC, United States and global campuses","Concur Expense, Concur Travel, Concur TripLink",US,Education,"Travel,Expense","10,000 - 49,999", 
casestudy_discovery-inc,discovery-inc,casestudy, ,https://www.concur.com/sites/default/files/logo.jpg, ,https://www.concur.com/en-us/casestudy/discovery-inc, , , , ,5001,New York - HQ and global offices,"Concur Expense, Concur Travel, Concur TripLink",US,Entertainment,"Travel,Expense","3,000 - 5,999", 
casestudy_gonzaga-university,gonzaga-university,casestudy, ,https://www.concur.com/sites/default/files/gonzaga_logo.png, ,https://www.concur.com/en-us/casestudy/gonzaga-university, , , , ,1133,"Spokane, WA","Concur Expense, Concur Invoice, Concur Travel, Concur Request, Intelligence",US,Education,"Invoice,Travel,Expense,Data Insights","1,000 - 1,999", 
casestudy_agribank,agribank,casestudy, ,https://www.concur.com/sites/default/files/agribank-logo.png, ,https://www.concur.com/en-us/casestudy/agribank, , , , ,13000,"St. Paul, Minnesota","Concur Expense, Concur Invoice, Intelligence, ExpenseIt",US,Financial,"Invoice,Expense,Data Insights","10,000 - 49,999", 
casestudy_pall-corporation,pall-corporation,casestudy, ,https://www.concur.com/sites/default/files/pall_corporation_logo.png, ,https://www.concur.com/en-us/casestudy/pall-corporation, , , , ,9500,"Port Washington, NY","Concur Travel, Concur Expense",US,Health Care,"Travel,Expense","6,000 - 9,999", 
casestudy_atricure-inc,atricure-inc,casestudy, ,https://www.concur.com/sites/default/files/atricure_logo_1-color_rbg_010218_002.png, ,https://www.concur.com/en-us/casestudy/atricure-inc, , , , ,100,"Mason, OH","Concur Travel, Concur Expense",US,Pharmaceutical,"Travel,Expense",100 - 499, 
casestudy_world-travel-bcd,world-travel-bcd,casestudy, ,https://www.concur.com/sites/default/files/wts-forwebsite.jpg, ,https://www.concur.com/en-us/casestudy/world-travel-bcd, , , , ,130,"Knoxville, TN","Concur Expense, Concur Expense Pay, Concur TravelTrax Essential, Concur TripLink",US,Hospitality,Expense,100 - 499, 
casestudy_conference-board,conference-board,casestudy, ,https://www.concur.com/sites/default/files/tcb-logo-blue-4c_transparent.png, ,https://www.concur.com/en-us/casestudy/conference-board, , , , ,153,"New York, NY","Concur Expense, Concur Invoice",US,Technology,"Invoice,Expense",100 - 499, 
casestudy_asahi-kasei-plastics,asahi-kasei-plastics,casestudy, ,https://www.concur.com/sites/default/files/asahikasei_new-logo.png, ,https://www.concur.com/en-us/casestudy/asahi-kasei-plastics, , , , ,150,"Fowlerville, MI","ExpenseIt, Concur TripLink",US,Manufacturing,Expense,100 - 499, 
casestudy_taxaudit,taxaudit,casestudy, ,https://www.concur.com/sites/default/files/taxaudit-logo.png, ,https://www.concur.com/en-us/casestudy/taxaudit, , , , ,200,"Folsom, CA","Concur Travel, Concur Expense",US,Professional Services,"Travel,Expense",100 - 499, 
casestudy_ibm,ibm,casestudy, ,https://www.concur.com/sites/default/files/ibm_png19658.png, ,https://www.concur.com/en-us/casestudy/ibm, , , , ,400000,New York,"Concur Expense, Concur Travel, Concur Request",US,Technology,"Travel,Expense","> 50,000", 
casestudy_national-mortgage-insurance,national-mortgage-insurance,casestudy, ,https://www.concur.com/sites/default/files/national-mi-header-logo.png, ,https://www.concur.com/en-us/casestudy/national-mortgage-insurance, , , , ,95,"Emeryville, CA","Intelligence, Concur Expense Pay",US,Financial,Data Insights,50 - 99, 
casestudy_trilantic,trilantic,casestudy, ,https://www.concur.com/sites/default/files/trilantic-capital-partners-logo.jpg, ,https://www.concur.com/en-us/casestudy/trilantic, , , , ,35,New York,Concur Invoice,US,Financial,Invoice,< 50, 
casestudy_code42-software,code42-software,casestudy, ,https://www.concur.com/sites/default/files/code42logo.png, ,https://www.concur.com/en-us/casestudy/code42-software, , , , ,180,Minnesota,"Concur Expense, Concur Invoice",US,Technology,"Invoice,Expense",100 - 499, 
casestudy_recordati-rare-diseases,recordati-rare-diseases,casestudy, ,https://www.concur.com/sites/default/files/recordati.png, ,https://www.concur.com/en-us/casestudy/recordati-rare-diseases, , , , ,50,New Jersey,Concur Invoice,US,Pharmaceutical,Invoice,50 - 99, 
casestudy_nuvasive-1,nuvasive-1,casestudy, ,https://www.concur.com/sites/default/files/nuvasive_logo_jpg-1_002.jpg, ,https://www.concur.com/en-us/casestudy/nuvasive-1, , , , ,2401,"San Diego, California","Concur Expense, Concur Travel",US,Health Care,"Travel,Expense","2,000 - 2,999", 
casestudy_us-sailing,us-sailing,casestudy, ,https://www.concur.com/sites/default/files/us_sailing_logo.png, ,https://www.concur.com/en-us/casestudy/us-sailing, , , , ,7500,"Bristol, Rhode Island","Concur Travel, Concur Expense",US,Non-Profit,"Travel,Expense","6,000 - 9,999", 
casestudy_rabobank,rabobank,casestudy, ,https://www.concur.com/sites/default/files/rabobank.gif, ,https://www.concur.com/en-us/casestudy/rabobank, , , , ,45000,"Utrecht, The Netherlands",Concur Expense,US,Financial,Expense,"10,000 - 49,999", 
