## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
11,How a Travel Management Company (TMC) Can Help Simplify Business Travel,blog,"Using a travel management company can be an effective way to save resources, ensure policy compliance, and increase adherence to travel guidelines. Learn more.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-11/282416_GettyImages-528442104_2600.jpg?h=afa4eed2&itok=fWjXK-I8, ,https://www.concur.com/blog/article/how-travel-management-company-tmc-can-help-simplify-business-travel, , ,87,Travel and Expense, , , , , , , , ,
12,Travel Management Solutions for Small Businesses,blog,Read this blog and learn how small businesses can effectively manage business travel expenses using innovative technology.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-11/283348_GettyImages-723502157_super_2600.jpg?h=50723507&itok=n9fEYZ4O, ,https://www.concur.com/blog/article/travel-management-solutions-for-small-businesses, , ,88,Travel and Expense, , , , , , , , ,
13,Simpler Sustainability: Building an Eco-Strategy into Your Travel Policy,blog,"From the C-Suite to the front lines, travel leaders are encouraged and pushed to build sustainability into their programs and the choices they offer. It’s no small order to start measuring and reducin",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-11/296673_GettyImages-1303772812_medium_jpg.jpg?h=4097b07f&itok=5ZHEePsC, ,https://www.concur.com/blog/article/simpler-sustainability-building-eco-strategy-into-your-travel-policy, , ,89,Travel and Expense, , , , , , , , ,
14,See How Your Business Stacks Up on Its T&E Performance,blog,"To address a business challenge often requires two things: Good data and perspective on how you’re doing. Our Travel and Expense Performance Benchmark Report delivers both, focusing on goals where top",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-11/284410_SAP_GettyImages-500817177_Hi-Res_RGB_RET_2600.jpg?h=2f1b1146&itok=f3wcw7Ox, ,https://www.concur.com/blog/article/see-how-your-business-stacks-up-on-its-te-performance, , ,90,Travel and Expense, , , , , , , , ,
15,"On Business Travel, Parents and Non-Parents See Things Differently",blog,"""The past three years have been challenging for parents and caregivers, with the pandemic making it difficult to balance childcare and work responsibilities. According to a survey, nearly all parents",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-11/284410_SAP_GettyImages-500817177_Hi-Res_RGB_RET_2600%20%281%29.jpg?h=1e6a0959&itok=g6-cvrHu, ,https://www.concur.com/blog/article/on-business-travel-parents-and-non-parents-see-things-differently, , ,91,Travel and Expense, , , , , , , , ,
16,Key Steps for Successful Business Travel Planning,blog,"Dive into the essential steps of business travel planning, from complying with company policies and budgeting, to ensuring employee safety and achieving business goals.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-10/298066_GettyImages-1125703881_medium_jpg.jpg?h=4097b07f&itok=GTOI0x1u, ,https://www.concur.com/blog/article/key-steps-for-successful-business-travel-planning, , ,92,Travel and Expense, , , , , , , , ,
17,Sources of Insight and Inspiration: Books and Podcasts We Love,blog,"Just as SAP Concur knows travel and expense solutions, members of our team and our customer community of professionals know good books and podcasts when they read and hear them.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-10/275909_275909_l_srgb_s_gl.jpg?h=4be0966b&itok=Tdq_5zD7, ,https://www.concur.com/blog/article/sources-insight-and-inspiration-books-and-podcasts-we-love, , ,93,Travel and Expense, , , , , , , , ,
18,Have a Problem? The SAP Concur App Center Likely Has a Solution,blog,Need your ERP to work better with your SAP® Concur® solutions? Want to help employees make more cost-effective travel choices – and think rewards might help?,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-10/274651_274651_l_srgb_s_gl.jpg?h=4be0966b&itok=-gY4C11Y, ,https://www.concur.com/blog/article/have-problem-sap-concur-app-center-likely-has-solution, , ,94,Travel and Expense, , , , , , , , ,
19,SAP Ranks No. 1 in 2022 Market Share for Travel and Expense Management Software,blog,"SAP has maintained its  #1 ranking in market share for Travel and Expense Management Software according to IDC Market Share: Worldwide Travel and Expense Management Software Market Shares, 2022: Evolv",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-10/279201_GettyImages-590777295_low.jpg?h=01db310a&itok=Zx4cc-GA, ,https://www.concur.com/blog/article/sap-ranks-no-1-in-2022-market-share-for-travel-and-expense-management-software, , ,95,Travel and Expense, , , , , , , , ,
20,Travel Management Options No Matter How Big (or Small) Your Needs May Be,blog,"SAP Concur examines solutions that can meet customer needs – no matter how big or small they may be - and make businesses future ready. Topics include: Booking, Traveler Experience, Wellness & Safety",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-10/280654_GettyImages-156938708_super_low.jpg?h=ea893e18&itok=DkM1E3Jy, ,https://www.concur.com/blog/article/travel-management-options-no-matter-how-big-or-small-your-needs-may-be, , ,96,Travel and Expense, , , , , , , , ,
21,5 Tips to Help Travel and HR Managers Deliver Duty of Care,blog,"""Blog addresses current risks for employees – whether in the office, working from home or traveling for business – and, offers guidance and tips to help to prevent them, or in worse case scenarios man",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-10/272086_272086_l_srgb_s_gl.jpg?h=f53c11fc&itok=wEouboH3, ,https://www.concur.com/blog/article/5-tips-to-help-travel-and-hr-managers-deliver-duty-care, , ,97,Travel and Expense, , , , , , , , ,
22,Finding Security in Data Intelligence and the Cloud,blog,"Artificial intelligence (AI), cloud technologies, and advanced data analytics have the potential to revolutionize how organizations manage travel and expense (T&E) operations. However, concerns about",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-10/283497_GettyImages-624002776_high_2600%20%281%29.jpg?h=dfaa3a43&itok=Og6MHTK1, ,https://www.concur.com/blog/article/finding-security-in-data-intelligence-and-cloud, , ,98,Control Company Costs, , , , , , , , ,
23,"How Automation, Artificial Intelligence, and Machine Learning Are Helping Organizations Reduce Non-Compliant Spend",blog,"Over the past few years, we've witnessed a fascinating transformation in the realm of travel and expense (T&E) compliance. This article offers valuable insights into the challenges organizations face",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-09/277372_277372_l_srgb_s_gl.jpg?h=b07baa2a&itok=C7q81KAR, ,https://www.concur.com/blog/article/how-automation-artificial-intelligence-and-machine-learning-are-helping-organizations, , ,99,Control Company Costs, , , , , , , , ,
24,Small Business Employees Use Business Travel to Boost Career,blog,"1,650 employees at small and midsize companies, SMB travelers are hungry for business trips to build their careers.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-09/286073_GettyImages-683579688.jpg?h=3826edcc&itok=vyJCh3TM, ,https://www.concur.com/blog/article/small-business-employees-use-business-travel-to-boost-career, , ,100,Control Company Costs, , , , , , , , ,
25,Travel Safety Guidelines for Employees: Ensuring Safe and Secure Business Travel,blog,These travel safety guidelines for employees will help you strengthen the security of business travelers and establish a plan for corporate travel safety.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-09/281864_offset_comp_358870_low.jpg?h=3d163d6f&itok=NqHwyVFK, ,https://www.concur.com/blog/article/travel-safety-guidelines-for-employees-ensuring-safe-and-secure-business-travel, , ,101,Control Company Costs, , , , , , , , ,
26,"Buckle in, tray tables up: Concur Travel’s biggest update in years is about to take off",blog,"Concur Travel will deliver a new end-to-end booking experience for customers whose TMCs use the Sabre GDS from the US point of sale for air, hotel, and car rental bookings.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-09/275612_275612_l_srgb_s_gl.jpg?h=182bd2d9&itok=AFX-Jp8T, ,https://www.concur.com/blog/article/buckle-in-tray-tables-up-concur-travels-biggest-update-in-years-is-about-to-take-off, , ,102,Control Company Costs, , , , , , , , ,
27,How Travel Experiences and Expectations Differ by Generation,blog,"The findings of the SAP Concur Global Business Travel Survey, now in its fifth year, cover a lot of ground—from the impact of economic uncertainty, to discrimination and equal opportunity issues, to s",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-08/272112_272112_l_srgb_s_gl.jpg?h=07068082&itok=HGvfGFGj, ,https://www.concur.com/blog/article/how-travel-experiences-and-expectations-differ-by-generation, , ,103,Control Company Costs, , , , , , , , ,
28,2023 Global Business Travel Outlook,blog,Exclusive business travel insights from the 2023 SAP Concur Global Business Travel Survey.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-08/281863_offset_comp_363888_low.jpg?h=d64b7bc7&itok=YenAOxPw, ,https://www.concur.com/blog/article/2023-global-business-travel-outlook, , ,104,Control Company Costs, , , , , , , , ,
29,SAP Concur Unveils New Experiences for Concur Travel,blog,Reinventing the world’s leading online booking tool is no small feat. We are evolving Concur Travel to better address the current and future needs of our travelers with new technology.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-08/1MB_EoT%20blog%20medium.jpg?h=738dac82&itok=YaCbRacz, ,https://www.concur.com/blog/article/sap-concur-unveils-new-experiences-for-concur-travel, , ,105,Control Company Costs, , , , , , , , ,
30,Report: Travel Managers Face More Challenges Than Ever,blog,"Nearly half of global travel managers say their role is more stressful now than 12 months ago. Unsurprisingly, the top challenge is inflation driving up the cost of business travel.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-08/1mb%20TM%20blog.jpg?h=eecdc6e0&itok=uNumgPyl, ,https://www.concur.com/blog/article/report-travel-managers-face-more-challenges-than-ever, , ,106,Control Company Costs, , , , , , , , ,
31,JTB-CWT Concur TripLink Integration: Enhancing Business Travel in Japan,blog,"We are delighted to announce the JTB-CWT integration with Concur TripLink, offering companies with domestic business travel in Japan a seamless and comprehensive Travel and Expense (T&E) experience.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-08/285616_GettyImages-619298606.jpg?h=8c9b3d2c&itok=GUHJ7x8-, ,https://www.concur.com/blog/article/jtb-cwt-concur-triplink-integration-enhancing-business-travel-in-japan, , ,107,Control Company Costs, , , , , , , , ,
32,Managed Travel Programs Are Changing - What to Do in a Multi-Channel World,blog,"The stakes of change are high, in terms of control and visibility, as 46% of global business travelers make supplier-direct bookings and 60% of spending data lacks visibility.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-07/280899_GettyImages-626533457_medium_jpg.jpg?h=bb4137e1&itok=LUu1_DzM, ,https://www.concur.com/blog/article/managed-travel-programs-are-changing-what-to-do-in-multi-channel-world, , ,108,Control Company Costs, , , , , , , , ,
33,Make More Time for Yourself on Your Next Business Trip,blog,Four ways to optimize your domestic and international business travel for work and leisure.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-07/efficient_business_travel_1mb.jpg?h=38bda50b&itok=GYov8C7Q, ,https://www.concur.com/blog/article/make-more-time-for-yourself-on-your-next-business-trip, , ,109,Control Company Costs, , , , , , , , ,
34,Building Effective Travel Programs for Business Travelers: An SAP Concur Conversations Podcast,blog,"In this episode of the SAP Concur Conversations podcast, Hansini Sharma, who leads the Travel Practice at Acquis Consulting Group, spoke with Jeanne Dion, Vice President, Value Experience Team at SAP",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-07/283094_shutterstock_399937996_2600.jpg?h=4b4f8d47&itok=gDs1aLyr, ,https://www.concur.com/blog/article/building-effective-travel-programs-for-business-travelers-sap-concur-conversations, , ,110,Control Company Costs, , , , , , , , ,
35,What Your Organization Can Do Today to Support Sustainability,blog,"More and more organizations are incorporating sustainability into their broader business strategy, including their travel practices. And by doing so, they’re reaping real benefits.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-07/277306_277306_l_srgb_s_gl.jpg?h=50723507&itok=ARCrykF-, ,https://www.concur.com/blog/article/what-your-organization-can-do-today-to-support-sustainability, , ,111,Control Company Costs, , , , , , , , ,
36,Survey Considers LGBTQ+ Business Travel Experiences,blog,Nearly all (94%) of LGBTQ+ business travelers experienced discrimination while traveling for work.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-06/297259_GettyImages-1339889736_large_jpg.jpg?h=0198689b&itok=e3OtQozo, ,https://www.concur.com/blog/article/survey-considers-lgbtq-business-travel-experiences, , ,112,Control Company Costs, , , , , , , , ,
37,Hear Why Companies Chose SAP Concur to Run and Grow Their Businesses,blog,"Worldwide, more than 48,000 customers are using our solutions to automate and simplify travel and expense processes and obtain insights that drive better decision-making. Their specific needs vary.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-06/286230_shutterstock_666011701_2600.jpg?h=d731f8b1&itok=TdqcVqoM, ,https://www.concur.com/blog/article/hear-why-companies-chose-sap-concur-to-run-and-grow-their-businesses, , ,113,Control Company Costs, , , , , , , , ,
38,Traveler Personas and the Traveler Experience: The Next Big Thing in Business Travel with Acquis,blog,"""The traveler journey, traveler personas, and providing an optimized traveler experience…these haven’t historically been areas of focus for many businesses — especially during times of economic hardsh",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-06/284132_GettyImages-624374948_2600.jpg?h=ce01f175&itok=ShEOKGAg, ,https://www.concur.com/blog/article/traveler-personas-and-traveler-experience-next-big-thing-in-business-travel-with, , ,114,Control Company Costs, , , , , , , , ,
39,Capturing Multi-Channel Bookings Made Simple with Concur TripLink,blog,Concur TripLink users and experts share how TripLink makes it easy to capture outside bookings and allows their travelers access to the best content at the best rate.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-06/296587_GettyImages-1223868148_medium_jpg.jpg?h=20c151b7&itok=rR-1lG8U, ,https://www.concur.com/blog/article/capturing-multi-channel-bookings-made-simple-with-concur-triplink, , ,115,Control Company Costs, , , , , , , , ,
40,"Majority Feel Business Travel Isn’t Offered Equally to All, Survey Finds",blog,"Nearly all (94%) business travelers are willing to travel for business, but two-thirds feel they haven’t had equal opportunity.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-06/For%20blog%20Picture1.jpg?h=c54ea5fe&itok=j0oqPECy, ,https://www.concur.com/blog/article/majority-feel-business-travel-isnt-offered-equally-to-all-survey-finds, , ,116,Control Company Costs, , , , , , , , ,
41,The Tough Get Going,blog,7 travel challenges and the strategies peers are using to address them,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-05/273667_273667_l_srgb_s_gl.jpg?h=9b989a84&itok=MLBNeqQh, ,https://www.concur.com/blog/article/tough-get-going, , ,117,Control Company Costs, , , , , , , , ,
42,How Intelligent Travel and Expense Management Drives the Future of Work,blog,"Talk about a balancing act. Businesses hunt for cost savings and efficiency amid inflation, global instability, and other challenges. At the same time, travel is recovering as companies recognize that",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-05/blog%20imaage.png?h=ffcaec84&itok=5dxJmQ-c, ,https://www.concur.com/blog/article/how-intelligent-travel-and-expense-management-drives-future-work, , ,118,Control Company Costs, , , , , , , , ,
43,Outdated Travel Policy? 5 Tips to Update It Today,blog,"""An outdated travel policy can cost your organization in many ways, including financially, strategically, and culturally. Today’s best-in-class travel policies are based on regularly assessed, achieva",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-04/outdated.png?h=ba653278&itok=DFEut-TR, ,https://www.concur.com/blog/article/outdated-travel-policy-5-tips-to-update-it-today, , ,119,Control Company Costs, , , , , , , , ,
44,Take the Pain Out of Travel with Clear Policies,blog,Travel policy template guidelines.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-04/CHOOSING%20THE%20RIGHT.png?h=6e2826c9&itok=Nl8Fvo67, ,https://www.concur.com/blog/article/take-pain-out-travel-with-clear-policies, , ,120,Control Company Costs, , , , , , , , ,
45,Meeting the Business Travel & Spend Management Challenges of 2023,blog,What does the world of T&E and accounts payable (AP) look like right now? Travel and spending are rebounding and quickly approaching pre-pandemic levels.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-04/100_1mg_282348_concur.airport_0545.jpg?h=8660595e&itok=0EvbgBX9, ,https://www.concur.com/blog/article/meeting-business-travel-spend-management-challenges-2023, , ,121,Control Company Costs, , , , , , , , ,
46,Learn How CFOs Can Navigate Inflation and Other Disruptions,blog,"Modernizing business applications and augmenting data are approaches IDC recommends1. With cloud-based solutions for travel and spend management, you can gain the flexibility and timely insights your",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-04/272149_272149_l_srgb_s_gl.jpg?h=6d5228a9&itok=u1y1Qc5q, ,https://www.concur.com/blog/article/learn-how-cfos-can-navigate-inflation-and-other-disruptions, , ,122,Business Continuity, , , , , , , , ,
47,From the Experts: Evolving Landscape of Travel & Expense,blog,"Our latest webinar, The Changing Travel & Expense Landscape, is designed to help business decision-makers across the globe better understand the topics and challenges they face now and in the future.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-04/98%20two%20girls.jpg?h=2a233208&itok=1ZETw8D8, ,https://www.concur.com/blog/article/from-experts-evolving-landscape-travel-expense, , ,123,Business Continuity, , , , , , , , ,
48,Why Should I Move from SAP Travel Management to Concur Travel & Expense?,blog,"Moving to the cloud-based Concur Travel & Expense solution requires minimal implementation costs so ROI can be realised sooner, while mobile- and web-based tools mean there’s little to no additional i",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-04/Why%20Should%20I%20Move%20from%20SAP%20Travel%20Management%20to%20Concur%20Travel%20%26%20Expense2.png?h=dae50e12&itok=JWbhYTMH, ,https://www.concur.com/blog/article/why-should-i-move-from-sap-travel-management-to-concur-travel-expense, , ,124,Business Continuity, , , , , , , , ,
49,"These 5 TripIt Features Can Save You Money on Your Next Trip, According to TripIt Customers",blog,"The feeling’s mutual: We love saving you money on travel, and our customers love when the app helps them save money, too.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-04/size.png?h=dae50e12&itok=rONmU9Zm, ,https://www.concur.com/blog/article/these-5-tripit-features-can-save-you-money-on-your-next-trip, , ,125,Business Continuity, , , , , , , , ,
50,Financial Times Series: Adapting to Change That Never Stops,blog,"For travel, sustainability is increasingly important. Productivity and efficiency are paramount for small and medium-sized businesses squeezed by costs and labor",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-03/Picture1%20%281%29.jpg?h=62d69628&itok=Y-5TnQLu, ,https://www.concur.com/blog/article/financial-times-series-adapting-to-change-that-never-stops, , ,126,Business Continuity, , , , , , , , ,
51,2023 Trends to Watch in Travel and Expense Management,blog,"Companies will continue to invest in digital solutions to accomplish a number of goals, from savings to program flexibility to sustainability.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-03/295890_GettyImages-1310533180_medium_jpg.jpg?h=8508600e&itok=x6jfe80U, ,https://www.concur.com/blog/article/2023-trends-to-watch-in-travel-and-expense-management, , ,127,Business Continuity, , , , , , , , ,
52,New Whitepaper: How Will Gen Z and Gen Alpha Change Travel and Expense?,blog,Further transformation will be required as younger generations enter the workplace and bring with them a host of new expectations.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-02/282354_concur.airport_0896.jpg?h=be2f81eb&itok=hMXTFUSH, ,https://www.concur.com/blog/article/new-whitepaper-how-will-gen-z-and-gen-alpha-change-travel-and-expense, , ,128,Business Continuity, , , , , , , , ,
53,SAP Concur Fusion: Updates Coming to Concur Travel and Concur Invoice,blog,"During this year’s SAP Concur Fusion, we’re revealing several developments to Concur Travel and Concur Invoice solutions with benefits to companies, travelers, and partners.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-02/CONCUR.CONDO_1219.jpg?h=df66548f&itok=-FwHbXqA, ,https://www.concur.com/blog/article/sap-concur-fusion-updates-coming-to-concur-travel-and-concur-invoice, , ,129,Business Continuity, , , , , , , , ,
54,How Concur Travel Works,blog,With so many travel options to choose from empower your employees to make the right choices with Concur Travel By integrating travel expense and vendor invoice management into a...,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-02/282365_concur.airport_1732.jpg?h=aa325e6a&itok=KccsqH8i, ,https://www.concur.com/blog/article/how-concur-travel-works, , ,130,Business Continuity, , , , , , , , ,
55,How to Access All American Airlines Fares with SAP Concur Solutions,blog,"With a lot of questions swirling about readiness of the industry, we want to be clear about what this means for Concur Travel customers.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-02/283372_shutterstock_129132983.jpg?h=e0e3bb0a&itok=wc6CsJG-, ,https://www.concur.com/blog/article/how-to-access-american-airlines-fares-in-concur-travel-if-american-removes-them-from, , ,131,Business Continuity, , , , , , , , ,
56,Why SAP Continues to be a T&E Solutions Leader,blog,Being recognized year after year as a market leader in cloud-based travel & expense solutions is something we are proud of at SAP.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-02/277219_277219_l_srgb_s_gl%20%281%29.jpg?h=d7755c5f&itok=nZtTy0T5, ,https://www.concur.com/blog/article/why-sap-continues-to-be-te-solutions-leader, , ,132,Business Continuity, , , , , , , , ,
57,Policy with Purpose: How to Create a Travel Program that Meets Both Employer and Employee Needs with Fox World Travel,blog,"In this episode of the SAP Concur Conversations podcast, experts share the “secret sauce” for building a world-class travel program (spoiler: your travel program is NOT a rotisserie chicken).",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-02/policyblogimage.png?h=58062f3b&itok=RDXvGBWQ, ,https://www.concur.com/blog/article/policy-with-purpose-how-to-create-travel-program-that-meets-both-employer-and-employee, , ,133,Business Continuity, , , , , , , , ,
